post_id,user_id,nickname,book_id,content,published_at,view_count,like_count,comment_count,repost_count,is_book_related,writing_style,content_length
500024,20073,daring_birch,1011,dont know if i loved it but watching how women from rival cultures confront political division and the return of a destructive dragon definately give me alot to think about,2026-02-20T18:10:02.713Z,4052,972,10,98,1,imperfect,medium
500025,20231,cozy_fern,1295,"I finished this with a clearer sense of the events and more questions about how they are remembered. The central material—a journalist visits several countries to investigate how place and culture influence happiness—gave the cultural context a clear human focus. The personal perspective helped connect the individual experience with larger events, although one important transition needed more explanation. I respected the idea more than I enjoyed reading it. The account was most convincing when it allowed uncertainty and contradiction to remain visible. A conversation afterward showed me how differently two readers can interpret the same remembered event. I also appreciated the moments when the account resisted an easy lesson and allowed uncertainty to remain part of the record. Whose perspective was missing from the account?",2024-02-06T00:32:48.211Z,5490,148,121,25,1,long,long
500026,20506,rapid_moth,1178,The evidence supporting the idea that long-term passion and persistence are examined as important parts of achievement gave the larger argument credibility. I wanted the same care in the counterargument. The strongest point was also the one I wanted challenged more.,2025-01-31T08:28:45.977Z,14402,4114,357,59,1,polished,medium
500027,20386,wild_heron,1297,This was most persuasive when it stayed close to the experience that two unprepared friends hike sections of the Appalachian Trail and reflect on the landscape. The wider implications deserved more space.,2025-08-03T03:41:16.212Z,36003,5476,366,122,1,polished,medium
500028,20739,velvet_raven,1060,"The premise that an elderly man reads the story of a young couple separated by class and circumstance creates an immediate source of tension. The strongest material comes from the quieter scenes, while the final decision feels slightly compressed. I wanted another chapter to develop the consequences. I still cannot decide whether the final choice was fair.",2026-03-05T17:16:58.315Z,7706,506,186,32,1,polished,medium
500029,20047,jolly_beacon,1286,maybe i miss something but saying western representations of the East are examined as cultural tools connected to imperial power go further then some of the evidence,2025-05-17T12:27:39.556Z,34254,9445,479,101,1,imperfect,medium
500030,20264,crimson_finch,1126,"dont know if i loved it but watching how the decline of a wealthy Chinese family unfolds through love, household life, and social change definately give me alot to think about",2025-11-16T11:29:10.437Z,7603,834,42,68,1,imperfect,medium
500031,20436,lucky_lantern,1130,"The premise that friends confront a shape-shifting evil that returns to their Maine town across generations creates an immediate source of tension. The strongest material comes from the quieter scenes, while the relationships feels slightly compressed. The uncertainty made the payoff stronger. I want another reader's opinion on who was actually responsible.",2024-11-26T18:28:15.748Z,2981,480,239,70,1,polished,medium
500032,20516,brisk_otter,1091,"first i wasnt sure about the setup, then a father and son travel through a devastated landscape while trying to preserve their humanity and i couldnt stop reading after",2025-12-05T22:49:21.292Z,30068,1033,119,85,1,imperfect,medium
500033,20077,happy_birch,1146,"Somewhere around the point when two Mexican American boys build a friendship that changes how they understand themselves, I became way too invested. The uncertainty made the payoff stronger.",2024-09-05T16:21:32.294Z,34973,8344,5,98,1,casual,medium
500034,20557,golden_owl,1201,"This was most persuasive when it stayed specific about the claim that research profiles households that build wealth through saving, restraint, and steady habits. The wider conclusion deserved stronger limits.",2025-02-18T05:54:07.323Z,1537,464,39,28,1,polished,medium
500035,20654,gentle_pine,1154,"The premise that a traumatized teenager becomes isolated at school and slowly finds a way to tell the truth creates an immediate source of tension. The strongest material comes from the pacing, while the character choices feels slightly compressed. The setup was stronger than the final payoff. I am still unsure whether the last reveal improved the story.",2025-09-24T03:49:49.911Z,19101,3590,415,174,1,polished,medium
500036,20026,silver_badger,1031,"Somewhere around the point when a murder in the Louvre sends a professor and cryptologist through a trail of religious symbols, I became way too invested. That was the moment I became fully invested.",2026-05-20T15:23:17.667Z,17505,4574,393,2,1,casual,medium
500037,20749,dusky_river,1225,"the fact that a broad history follows humanity from early societies to modern global systems already says a lot, but the emotional honesty made it hit harder 🥲",2026-01-30T11:39:59.947Z,41964,1528,338,109,1,slang,medium
500038,20619,curious_pebble,1310,"This took longer than expected because several passages deserved more attention than a quick reading. The central material—an extended essay argues that women writers need financial independence and private space—gave the wider implications a clear human focus. The emotional honesty helped connect the individual experience with larger events, although one important transition needed more explanation. I respected the idea more than I enjoyed reading it. The smaller observations carried more emotional weight than the broadest conclusions. A conversation afterward showed me how differently two readers can interpret the same remembered event. I also appreciated the moments when the account resisted an easy lesson and allowed uncertainty to remain part of the record. I am still deciding which part of the account felt most convincing.",2026-08-10T15:13:54.188Z,26103,5993,378,0,1,long,long
500039,20540,silver_otter,1272,"I picked this up for a quick overview, but the discussion showing that reporting and experiments investigate how breathing habits may influence health and performance gave me more to think about. I understood the point, but the execution still felt uneven.",2026-02-01T09:44:37.264Z,38201,8617,411,120,1,casual,medium
500040,20750,gentle_river,1069,"My quick take: a family saga follows a forbidden love across decades in the Australian outback. Strong setup, uneven middle, and an ending I am still processing.",2024-01-09T19:59:41.352Z,32978,4467,479,144,1,casual,medium
500041,20675,velvet_pine,1103,the whole thing where two French sisters resist Nazi occupation in different ways during World War II was interesting but some chapter go too fast after that,2024-12-26T00:48:41.939Z,40156,13005,47,191,1,imperfect,medium
500042,20225,velvet_falcon,1125,"first i wasnt sure about the setup, then a Greek king struggles for years to return home after the Trojan War and i couldnt stop reading after",2026-06-27T01:49:56.860Z,13353,3256,29,20,1,imperfect,medium
500043,20164,calm_ember,1178,The argument that long-term passion and persistence are examined as important parts of achievement was clearer than I expected.,2026-05-30T22:33:11.448Z,26292,1725,493,44,1,short,short
500044,20534,misty_otter,1092,"maybe i miss something but if an English butler looks back on a life shaped by duty, repression, and misplaced loyalty why nobody make a better choice sooner",2024-02-16T02:37:31.613Z,29535,8332,42,111,1,imperfect,medium
500045,20055,neon_beacon,1266,"The evidence supporting the idea that encounters with octopuses explore intelligence, personality, and human relationships with other animals gave the larger argument credibility. I wanted the same care in the counterargument. I wish the counterargument had received more attention.",2025-01-23T14:55:18.888Z,24171,4329,430,190,1,polished,medium
500046,20233,curious_fern,1149,"The setup—a young woman fights to restore magic to a kingdom that persecutes her people—could have felt familiar, but the relationships made it specific. I am still uncertain about the final decision.",2024-12-31T17:29:53.992Z,3697,155,153,20,1,polished,medium
500047,20304,indigo_fox,1256,"I approached this with some skepticism because the subject often attracts very confident claims. The central explanation—evidence about pesticides reveals ecological damage and helped transform environmental debate—gave the real-world examples a clear direction. The real-world examples made the idea easier to understand, although the practical advice moved from observation to conclusion too quickly for me. The tension felt earned instead of manufactured. I appreciated the concrete cases because they made it easier to separate a useful framework from the larger promises. A discussion with a friend exposed how differently the same advice can work depending on someone's circumstances. The framework is memorable, but real life seems messier.",2025-04-04T22:37:03.892Z,14652,1633,78,59,1,long,long
500048,20231,cozy_fern,1077,"The setup—a wrongful conviction tests a newly married couple and the people connected to them—could have felt familiar, but the character choices made it specific. I am still uncertain about the final decision.",2025-08-16T02:41:28.949Z,30158,4259,77,64,1,polished,medium
500049,20398,happy_juniper,1315,"The discussion begins with this experience: essays combine literary criticism and personal experience to examine race and belonging. That gives the emotional honesty a clear structure, while the personal perspective could use more context. I kept thinking about how memory shapes the way this is told.",2025-05-30T07:40:01.134Z,12726,757,476,140,1,polished,medium
500050,20711,calm_raven,1306,"This took longer than expected because several passages deserved more attention than a quick reading. The central material—the search for explorer Percy Fawcett becomes an investigation of obsession and the Amazon—gave the personal perspective a clear human focus. The narrative structure helped connect the individual experience with larger events, although one important transition needed more explanation. I liked how the consequences were allowed to stay complicated. The account was most convincing when it allowed uncertainty and contradiction to remain visible. The context made familiar events feel less settled and much more connected to ordinary lives. I also appreciated the moments when the account resisted an easy lesson and allowed uncertainty to remain part of the record. The historical context changed how I understood the personal choices.",2026-07-11T05:15:44.699Z,4509,401,281,24,1,long,long
500051,20304,indigo_fox,1082,Knowing that two lovers flee a city at war through mysterious doors that transport refugees across borders did not make the ending any easier.,2025-02-18T23:01:09.437Z,811,150,118,3,1,short,medium
500052,20748,daring_river,1243,"The discussion begins with this experience: the narrator X narrates his transformation from a troubled youth into an influential political leader. That gives the historical context a clear structure, while the narrative structure could use more context. I wish one opposing perspective had received more attention.",2024-12-13T19:07:24.785Z,36990,11327,52,15,1,polished,medium
500053,20012,happy_badger,1050,"I was having a normal day until finally cleaning the desk drawer. Honestly, I should have gone back to bed.",2026-05-03T10:06:43.034Z,44599,2202,369,101,0,casual,short
500054,20584,crimson_panda,1089,"I admired the patience given to the emotional consequences after twins in Kerala confront the lasting damage of family secrets, caste, and forbidden love, even when the final decision became uneven. The result was frustrating in a productive way.",2025-07-15T16:09:34.375Z,38476,9889,154,105,1,polished,medium
500055,20235,dusky_fern,1029,I read this with my book club and immediately needed someone to discuss this with: a woman's disappearance turns her marriage into a public mystery shaped by lies and manipulation. Would the conflict have happened without that one avoidable decision?,2026-07-03T17:14:22.954Z,16175,2356,181,14,1,casual,medium
500056,20276,lucky_finch,1302,"i was not expect the part where an Austrian mountaineer describes escape, travel, and life in Tibet before Chinese control to be this emotional. needed more context tho",2025-06-21T02:52:45.220Z,27247,5995,7,93,1,imperfect,medium
500057,20688,happy_quill,1239,"I took notes while reading, and the narrative structure changed how I understood this material: a Jewish teenager records daily life, fear, and hope while hiding during the Holocaust.",2024-01-25T05:46:06.702Z,6274,1082,336,193,1,casual,medium
500058,20498,lilac_moth,1283,"Still thinking about this claim: a philosophical dialogue investigates justice, education, leadership, and the ideal state.",2025-12-09T08:27:24.709Z,37970,6771,190,131,1,short,short
500059,20723,jolly_raven,1201,"I appreciated how the book develops the idea that research profiles households that build wealth through saving, restraint, and steady habits, especially where it acknowledges uncertainty. The broader conclusions were less convincing.",2025-08-27T01:02:45.942Z,472,91,75,0,1,polished,medium
500060,20363,dusky_heron,1252,I kept stopping to think about this part: a journalist remembers a brilliant but unstable family shaped by poverty and parental neglect. I respected the idea more than I enjoyed reading it. The historical context changed how I understood the personal choices.,2026-05-17T03:00:46.118Z,3717,642,456,50,1,casual,medium
500061,20131,brisk_crane,1318,The central subject—a concise personal argument explains why gender equality benefits everyone—is presented with enough detail to support more than one interpretation. Whose perspective was missing from the account?,2024-12-30T19:33:02.585Z,4876,813,419,77,1,polished,medium
500062,20087,neon_birch,1145,"The setup—two isolated teenagers form a relationship during one difficult school year—could have felt familiar, but the relationships made it specific. I am still uncertain about the final decision.",2024-03-06T10:16:07.467Z,327,80,92,6,1,polished,medium
500063,20135,crimson_crane,1258,"tbh it was interesting and frustrating in almost equal amounts. the point that the history of genetics connects scientific discovery with medicine, identity, and ethical risk is still living in my head tho",2024-11-07T14:00:27.314Z,35026,4229,14,183,1,slang,medium
500064,20085,misty_birch,1134,"lowkey knew a governess believes two children in her care are threatened by ghosts, but the way it played out still got me 🙃 I wanted another chapter to develop the consequences",2024-03-18T21:56:22.207Z,6272,1016,373,125,1,slang,medium
500065,20181,lunar_ember,1316,"Fragmented essays capture politics, culture, and instability in late-1960s and 1970s America. That gave me a lot to reconsider.",2025-07-23T18:21:38.250Z,8788,2820,478,158,1,short,short
500066,20277,lunar_finch,1035,Today's main event: trying a new coffee place.,2025-09-30T03:44:26.439Z,7054,1975,259,199,0,short,short
500067,20587,dusky_panda,1259,"I picked this up after a friend insisted, expecting a quick overview, but I ended up taking more notes than planned. The central explanation—a family's story is linked to cells taken without consent that became crucial to medical research—gave the evidence a clear direction. The real-world examples made the idea easier to understand, although the historical context moved from observation to conclusion too quickly for me. The idea worked much better than I expected. Even where I disagreed, the language gave me a better way to identify the issue in ordinary life. The framework is memorable enough that I caught myself using it later, which is useful even if the evidence deserves another source. I am not sure the conclusion follows from every example.",2025-09-20T05:21:12.669Z,49726,10861,78,134,1,long,long
500068,20104,curious_comet,1174,bro i did not expect the idea that four personal commitments are proposed for reducing conflict and living with greater awareness to make me pause like that 😬,2024-03-14T10:09:45.516Z,28003,9132,44,154,1,slang,medium
500069,20754,indigo_river,1170,not me agreeing that a principle-centered framework connects personal responsibility with relationships and long-term effectiveness and then arguing with half the conclusions in the margins 🫠,2026-06-07T09:19:22.885Z,21270,233,106,6,1,slang,medium
500070,20035,calm_beacon,1325,This was most persuasive when it stayed specific about the claim that scenarios involving machines smarter than humans are analyzed for strategy and existential risk. The wider conclusion deserved stronger limits.,2025-05-06T11:23:44.902Z,37071,4354,333,99,1,polished,medium
500071,20174,happy_ember,1145,ngl the fact that two isolated teenagers form a relationship during one difficult school year had me stressed from the jump 🤯,2025-09-23T19:14:50.587Z,32072,5763,183,176,1,slang,medium
500072,20241,jolly_fern,1276,the main point is that human anatomy and medical history are explained through accessible science and surprising stories and it make sense but i still need check the evidence,2025-10-31T09:55:40.422Z,31250,1365,307,174,1,imperfect,medium
500073,20361,curious_heron,1293,"The discussion begins from the idea that differences in national prosperity are linked to inclusive or extractive political institutions. That gives the practical advice a clear structure, although the main framework needs more qualification. I wish the counterargument had received more attention.",2026-04-18T07:23:03.604Z,3120,276,107,44,1,polished,medium
500074,20596,lively_panda,1321,"I came back after putting it down for a week, expecting a straightforward account, but I ended up pausing often to absorb the context. The central material—essays combine history, sociology, and autobiography to describe Black life after emancipation—gave the treatment of memory a clear human focus. The emotional honesty helped connect the individual experience with larger events, although one important transition needed more explanation. Some parts landed and others felt too convenient. I appreciated that the people involved were shown as complicated rather than symbolic. The context made familiar events feel less settled and much more connected to ordinary lives. I also appreciated the moments when the account resisted an easy lesson and allowed uncertainty to remain part of the record. I wanted more context around one important transition.",2024-12-31T22:31:26.501Z,11837,3673,107,61,1,long,long
500075,20471,mossy_maple,1256,"i understand the argument that evidence about pesticides reveals ecological damage and helped transform environmental debate better now, still not sure it work same for everyone",2025-11-23T01:43:32.604Z,15197,341,11,64,1,imperfect,medium
500076,20390,cloudy_juniper,1160,not me watching a lonely orphan discovers a hidden garden and helps restore a household's hope and acting surprised when the whole thing fell apart 🫠,2025-10-27T11:23:05.759Z,6877,257,195,12,1,slang,medium
500077,20375,mossy_heron,1183,This was strongest when it stayed close to the idea that entrepreneurs are encouraged to test assumptions quickly through experiments and customer feedback. the practical advice became less convincing when the claims broadened.,2026-05-17T18:31:52.542Z,33024,8715,327,179,1,casual,medium
500078,20647,calm_pine,1343,"this describe how a young seeker leaves conventional paths and learns through asceticism, desire, loss, and contemplation and some part is hard to read but important",2025-04-11T10:21:49.931Z,2546,724,269,23,1,imperfect,medium
500079,20003,calm_badger,1179,"The strongest part is the explanation that personal stories and research encourage authenticity, self-compassion, and resistance to shame. The examples are memorable without making the subject seem simpler than it is. That detail gave the whole thing more emotional weight.",2024-12-01T18:05:31.168Z,16774,4601,398,146,1,polished,medium
500080,20652,daring_pine,1188,"i was not expect the explanation that nike's founder recounts the risks, relationships, and near failures behind the company's growth to be useful. some conclusion is too easy tho",2024-11-10T23:35:43.554Z,1836,456,414,79,1,imperfect,medium
500081,20094,sunny_birch,1004,Noble families compete for power while an ancient danger returns beyond a northern wall. I did not expect that to hit so hard.,2025-01-23T07:49:32.700Z,21566,1938,281,20,1,short,medium
500082,20282,rapid_finch,1299,"I finished it during a long train ride, and the narrative structure changed how I understood this material: young wanderers cross the United States in search of freedom, experience, and intensity.",2025-02-21T01:34:30.667Z,24820,7181,290,5,1,casual,medium
500083,20683,curious_quill,1072,I was most interested in how the consequences developed after two Afghan women form a powerful bond while surviving war and an abusive household. The conflict remained convincing because nobody had a completely safe choice. It gave me more to think about than I expected.,2024-04-24T17:29:09.277Z,5150,568,211,8,1,polished,medium
500084,20467,lively_maple,1241,"This was strongest when it stayed close to the experience that a former first lady reflects on family, education, public service, and life in the White House. the cultural context could have used more room.",2025-03-15T21:49:11.874Z,17291,1445,256,175,1,casual,medium
500085,20516,brisk_otter,1173,Can we talk about the elevator getting stuck for two minutes? Because I am still confused about how it became my problem. At least I got a decent story out of it.,2026-05-16T11:18:07.294Z,265,13,13,0,0,casual,medium
500086,20747,curious_river,1258,"The discussion begins from the idea that the history of genetics connects scientific discovery with medicine, identity, and ethical risk. That gives the historical context a clear structure, although the main framework needs more qualification. I still want to check how strong the evidence is.",2026-01-12T01:09:59.884Z,11079,1729,134,41,1,polished,medium
500087,20255,sunny_fern,1104,"I did not agree with every choice after a Slovakian prisoner tattoos identification numbers at Auschwitz and forms a relationship with another prisoner, but the ending felt specific and believable.",2024-11-12T22:47:54.780Z,4562,861,496,36,1,casual,medium
500088,20639,sleepy_pebble,1080,"I almost stopped before it became clear that a woman between life and death explores alternate versions of the choices she might have made, which would have been a mistake. The idea worked much better than I expected.",2025-07-11T16:40:50.851Z,2119,164,38,1,1,casual,medium
500089,20157,solar_crane,1300,"This took longer than expected because several passages deserved more attention than a quick reading. The central material—a novelist drives across the United States with his dog to reconsider the country he writes about—gave the treatment of memory a clear human focus. The cultural context helped connect the individual experience with larger events, although one important transition needed more explanation. The ending helped, but it did not solve every problem. The account was most convincing when it allowed uncertainty and contradiction to remain visible. The context made familiar events feel less settled and much more connected to ordinary lives. I also appreciated the moments when the account resisted an easy lesson and allowed uncertainty to remain part of the record. I wanted more context around one important transition.",2026-06-19T15:47:48.231Z,234,11,14,2,1,long,long
500090,20375,mossy_heron,1026,I was most interested in how the consequences developed after human survivors search for a home while an uplifted spider civilization develops on a distant planet. The conflict remained convincing because nobody had a completely safe choice. I respected the idea more than I enjoyed reading it.,2026-02-09T06:34:51.453Z,746,106,110,18,1,polished,medium
500091,20210,lilac_falcon,1194,The main idea—pixar's cofounder explains management practices designed to protect honest feedback and creative risk—gave me a lot to reconsider.,2025-01-20T04:06:17.524Z,47352,11035,340,94,1,short,short
500092,20570,rapid_owl,1239,"the fact that a Jewish teenager records daily life, fear, and hope while hiding during the Holocaust already says a lot, but the moral questions made it hit harder 👀",2024-03-29T05:32:33.759Z,3780,1225,141,167,1,slang,medium
500093,20405,lunar_juniper,1338,"The central subject—islam's central scripture presents revelations concerning faith, worship, ethics, law, and community—is presented with enough detail to support more than one interpretation. The most personal section was also the one I trusted most.",2024-01-02T18:45:57.857Z,2163,24,10,3,1,polished,medium
500094,20086,mossy_birch,1275,"I finished it in two very different moods, expecting a quick overview, but I ended up taking more notes than planned. The central explanation—a critique of industrial diets argues for eating recognizable foods with greater simplicity—gave the evidence a clear direction. The real-world examples made the idea easier to understand, although the broader conclusion moved from observation to conclusion too quickly for me. The point felt more convincing than the people making it. Even where I disagreed, the language gave me a better way to identify the issue in ordinary life. I will probably revisit the clearest chapter, but I would pair it with a source that gives more attention to disagreement and limitations. I still want to check how strong the evidence is.",2025-08-18T12:38:55.348Z,8019,1153,137,23,1,long,long
500095,20731,quiet_raven,1262,bro i did not expect the idea that field reporting examines species loss and humanity's role in a modern mass extinction to make me pause like that 🤯,2024-04-18T03:49:21.062Z,21780,2915,395,116,1,slang,medium
500096,20492,gentle_moth,1199,the explanation starts with market evidence is used to argue for diversification and low-cost long-term investing. after that it become too confident about the advice,2026-03-25T05:36:51.797Z,1042,112,23,22,1,imperfect,medium
500097,20142,hidden_crane,1046,Still thinking about this setup: detective Sam Spade pursues a valuable statue while navigating betrayal and competing criminals.,2026-01-12T21:10:40.176Z,31097,6021,85,60,1,short,short
500098,20706,tiny_quill,1067,"tbh a genetics professor creates a logical plan to find a wife and meets someone who disrupts it sounds wild already, but the moral conflict made it even more stressful",2025-07-30T12:54:00.036Z,34441,10571,189,111,1,slang,medium
500099,20505,quiet_moth,1222,"The discussion begins from the idea that situations, systems, and group roles are examined as forces that can encourage harmful behavior. That gives the historical context a clear structure, although the real-world examples needs more qualification. The strongest point was also the one I wanted challenged more.",2026-01-02T21:31:22.097Z,6693,1731,322,171,1,polished,medium
500100,20459,dusky_maple,1141,"lowkey knew a teenager is forced into a televised fight to the death and becomes a symbol of resistance, but the way it played out still got me 👀 the idea worked much better than I expected",2025-08-28T19:02:13.054Z,42571,5290,166,45,1,slang,medium
500101,20397,golden_juniper,1057,"i really thought i could handle a story where elizabeth Bennet and Mr. Darcy overcome pride, misunderstanding, and family pressure. absolutely not 🙃",2024-05-20T11:28:40.386Z,14107,1055,98,184,1,slang,medium
500102,20348,silver_harbor,1006,"My quick take: a legendary musician and magician recounts the difficult path that made him famous. Strong setup, uneven middle, and an ending I am still processing.",2025-11-23T19:50:06.588Z,13060,3027,150,162,1,casual,medium
500103,20449,velvet_lantern,1250,The context surrounding how a graphic memoir follows a girl's childhood during the Iranian Revolution and her later life abroad gave the larger account credibility. I wanted the same care in the opposing perspective.,2026-08-15T09:21:49.787Z,41464,2089,390,108,1,polished,medium
500104,20525,golden_otter,1131,What stayed with me was the reaction to this situation: investigators stay in a disturbing mansion whose influence is especially powerful over one guest. That made the final decision feel personal rather than mechanical. That detail gave the whole thing more emotional weight.,2026-02-07T02:03:40.910Z,20329,1930,112,2,1,polished,medium
500105,20113,lilac_comet,1087,Today's main event: my neighbor's dog learning to howl.,2026-06-15T09:20:41.633Z,9702,110,52,12,0,short,short
500106,20377,quiet_heron,1225,missing an alarm and somehow arriving early was happen today and honestly i just wanted go home after,2024-06-05T06:11:22.559Z,3136,342,102,62,0,imperfect,short
500107,20335,hidden_harbor,1155,maybe i miss something but if a clever spider writes messages to save a beloved pig from slaughter why nobody make a better choice sooner,2024-03-31T04:15:38.403Z,10182,3290,55,54,1,imperfect,medium
500108,20781,daring_robin,1123,"I almost stopped before it became clear that the devil visits Soviet Moscow while a parallel story revisits Pontius Pilate, which would have been a mistake. That was the moment I became fully invested.",2024-04-13T00:48:24.509Z,29986,8689,84,20,1,casual,medium
